session_id,timestamp,user_id,product_id,event_type,offered_discount,purchase_id
124,2022-03-04 11:44:15,102.0,1435.0,VIEW_PRODUCT,15,
124,2022-03-04 11:46:10,102.0,1433.0,VIEW_PRODUCT,15,
124,2022-03-04 11:50:06,102.0,1441.0,VIEW_PRODUCT,15,
124,2022-03-04 11:52:57,102.0,1437.0,VIEW_PRODUCT,15,
124,2022-03-04 11:56:47,102.0,1432.0,VIEW_PRODUCT,15,
124,2022-03-04 12:00:32,102.0,1432.0,BUY_PRODUCT,15,20001.0
125,2022-01-17 16:00:46,102.0,1161.0,VIEW_PRODUCT,5,
125,2022-01-17 16:02:04,102.0,1169.0,VIEW_PRODUCT,5,
125,2022-01-17 16:06:24,102.0,1170.0,VIEW_PRODUCT,5,
125,2022-01-17 16:10:35,102.0,1165.0,VIEW_PRODUCT,5,
125,2022-01-17 16:15:25,102.0,1163.0,VIEW_PRODUCT,5,
125,2022-01-17 16:19:01,102.0,1166.0,VIEW_PRODUCT,5,
125,2022-01-17 16:21:53,102.0,1167.0,VIEW_PRODUCT,5,
125,2022-01-17 16:22:50,102.0,1164.0,VIEW_PRODUCT,5,
125,2022-01-17 16:26:46,,1168.0,VIEW_PRODUCT,5,
125,2022-01-17 16:29:26,102.0,1162.0,VIEW_PRODUCT,5,
126,2022-02-24 08:58:37,102.0,1610.0,VIEW_PRODUCT,20,
126,2022-02-24 09:01:11,102.0,1608.0,VIEW_PRODUCT,20,
126,2022-02-24 09:04:00,102.0,1608.0,BUY_PRODUCT,20,20002.0
127,2022-01-22 22:53:47,,1150.0,VIEW_PRODUCT,0,
127,2022-01-22 22:54:58,102.0,1151.0,VIEW_PRODUCT,0,
128,2022-02-23 01:01:30,,1095.0,VIEW_PRODUCT,20,
128,2022-02-23 01:05:44,102.0,1095.0,BUY_PRODUCT,20,20003.0
129,2022-01-12 19:31:39,102.0,1166.0,VIEW_PRODUCT,20,
129,2022-01-12 19:33:42,102.0,1163.0,VIEW_PRODUCT,20,
129,2022-01-12 19:37:40,102.0,1168.0,VIEW_PRODUCT,20,
129,2022-01-12 19:42:30,102.0,1161.0,VIEW_PRODUCT,20,
129,2022-01-12 19:44:39,102.0,1170.0,VIEW_PRODUCT,20,
129,2022-01-12 19:46:00,102.0,1165.0,VIEW_PRODUCT,20,
129,2022-01-12 19:46:28,102.0,1169.0,VIEW_PRODUCT,20,
129,2022-01-12 19:51:01,102.0,1169.0,BUY_PRODUCT,20,20004.0
130,2022-03-16 20:45:09,102.0,1440.0,VIEW_PRODUCT,5,
130,2022-03-16 20:47:17,,1433.0,VIEW_PRODUCT,5,
130,2022-03-16 20:50:14,102.0,1433.0,BUY_PRODUCT,5,20005.0
131,2022-01-23 13:21:45,102.0,1167.0,VIEW_PRODUCT,15,
131,2022-01-23 13:25:40,102.0,1169.0,VIEW_PRODUCT,15,
131,2022-01-23 13:26:32,102.0,1170.0,VIEW_PRODUCT,15,
132,2022-03-08 04:33:25,102.0,1094.0,VIEW_PRODUCT,10,
132,2022-03-08 04:37:54,102.0,1094.0,BUY_PRODUCT,10,20006.0
133,2022-01-13 08:05:03,102.0,1092.0,VIEW_PRODUCT,20,
133,2022-01-13 08:06:11,102.0,1093.0,VIEW_PRODUCT,20,
134,2022-01-12 02:14:18,102.0,1473.0,VIEW_PRODUCT,15,
134,2022-01-12 02:18:18,102.0,1473.0,BUY_PRODUCT,15,20007.0
135,2022-01-23 20:19:28,102.0,1101.0,VIEW_PRODUCT,10,
135,2022-01-23 20:21:15,102.0,1102.0,VIEW_PRODUCT,10,
135,2022-01-23 20:25:21,102.0,1104.0,VIEW_PRODUCT,10,
135,2022-01-23 20:30:04,102.0,1099.0,VIEW_PRODUCT,10,
